"Day1,創世記1–創世記7"
"Day2,創世記8–創世記14"
"Day3,創世記15–創世記21"
"Day4,創世記22–創世記26"
"Day5,創世記27–創世記30"
"Day6,創世記31–創世記35"
"Day7,創世記36–創世記40"
"Day8,創世記41–創世記44"
"Day9,創世記45–創世記50"
"Day10,出エジプト記1–出エジプト記7"
"Day11,出エジプト記8–出エジプト記13"
"Day12,出エジプト記14–出エジプト記20"
"Day13,出エジプト記21–出エジプト記25"
"Day14,出エジプト記26–出エジプト記30"
"Day15,出エジプト記31–出エジプト記36"
"Day16,出エジプト記37–レビ記2"
"Day17,レビ記3–レビ記8"
"Day18,レビ記9–レビ記13"
"Day19,レビ記14–レビ記18"
"Day20,レビ記19–レビ記24"
"Day21,レビ記25–民数記1"
"Day22,民数記2–民数記5"
"Day23,民数記6–民数記9"
"Day24,民数記10–民数記14"
"Day25,民数記15–民数記20"
"Day26,民数記21–民数記25"
"Day27,民数記26–民数記30"
"Day28,民数記31–民数記34"
"Day29,民数記35–申命記3"
"Day30,申命記4–申命記9"
"Day31,申命記10–申命記16"
"Day32,申命記17–申命記24"
"Day33,申命記25–申命記30"
"Day34,申命記31–ヨシュア記3"
"Day35,ヨシュア記4–ヨシュア記9"
"Day36,ヨシュア記10–ヨシュア記14"
"Day37,ヨシュア記15–ヨシュア記20"
"Day38,ヨシュア記21–士師記2"
"Day39,士師記3–士師記8"
"Day40,士師記9–士師記14"
"Day41,士師記15–士師記20"
"Day42,士師記21–サムエル記第一2"
"Day43,サムエル記第一3–サムエル記第一11"
"Day44,サムエル記第一12–サムエル記第一16"
"Day45,サムエル記第一17–サムエル記第一21"
"Day46,サムエル記第一22–サムエル記第一28"
"Day47,サムエル記第一29–サムエル記第二5"
"Day48,サムエル記第二6–サムエル記第二12"
"Day49,サムエル記第二13–サムエル記第二17"
"Day50,サムエル記第二18–サムエル記第二22"
"Day51,サムエル記第二23–列王記第一2"
"Day52,列王記第一3–列王記第一7"
"Day53,列王記第一8–列王記第一11"
"Day54,列王記第一12–列王記第一17"
"Day55,列王記第一18–列王記第一21"
"Day56,列王記第一22–列王記第二4"
"Day57,列王記第二5–列王記第二10"
"Day58,列王記第二11–列王記第二16"
"Day59,列王記第二17–列王記第二22"
"Day60,列王記第二23–歴代誌第一1"
"Day61,歴代誌第一2–歴代誌第一5"
"Day62,歴代誌第一6–歴代誌第一8"
"Day63,歴代誌第一9–歴代誌第一14"
"Day64,歴代誌第一15–歴代誌第一21"
"Day65,歴代誌第一22–歴代誌第一27"
"Day66,歴代誌第一28–歴代誌第二6"
"Day67,歴代誌第二7–歴代誌第二15"
"Day68,歴代誌第二16–歴代誌第二23"
"Day69,歴代誌第二24–歴代誌第二30"
"Day70,歴代誌第二31–エズラ記1"
"Day71,エズラ記2–エズラ記7"
"Day72,エズラ記8–ネヘミヤ記4"
"Day73,ネヘミヤ記5–ネヘミヤ記9"
"Day74,ネヘミヤ記10–エステル記1"
"Day75,エステル記2–ヨブ記2"
"Day76,ヨブ記3–ヨブ記9"
"Day77,ヨブ記10–ヨブ記17"
"Day78,ヨブ記18–ヨブ記24"
"Day79,ヨブ記25–ヨブ記32"
"Day80,ヨブ記33–ヨブ記38"
"Day81,ヨブ記39–詩篇8"
"Day82,詩篇9–詩篇21"
"Day83,詩篇22–詩篇33"
"Day84,詩篇34–詩篇43"
"Day85,詩篇44–詩篇55"
"Day86,詩篇56–詩篇68"
"Day87,詩篇69–詩篇77"
"Day88,詩篇78–詩篇86"
"Day89,詩篇87–詩篇97"
"Day90,詩篇98–詩篇105"
"Day91,詩篇106–詩篇114"
"Day92,詩篇115–詩篇118"
"Day93,詩篇119–詩篇120"
"Day94,詩篇121–詩篇139"
"Day95,詩篇140–箴言1"
"Day96,箴言2–箴言7"
"Day97,箴言8–箴言13"
"Day98,箴言14–箴言19"
"Day99,箴言20–箴言25"
"Day100,箴言26–箴言31"
"Day101,伝道者の書1–伝道者の書9"
"Day102,伝道者の書10–雅歌8"
"Day103,イザヤ書1–イザヤ書8"
"Day104,イザヤ書9–イザヤ書18"
"Day105,イザヤ書19–イザヤ書28"
"Day106,イザヤ書29–イザヤ書36"
"Day107,イザヤ書37–イザヤ書43"
"Day108,イザヤ書44–イザヤ書53"
"Day109,イザヤ書54–イザヤ書64"
"Day110,イザヤ書65–エレミヤ書4"
"Day111,エレミヤ書5–エレミヤ書10"
"Day112,エレミヤ書11–エレミヤ書18"
"Day113,エレミヤ書19–エレミヤ書26"
"Day114,エレミヤ書27–エレミヤ書32"
"Day115,エレミヤ書33–エレミヤ書40"
"Day116,エレミヤ書41–エレミヤ書48"
"Day117,エレミヤ書49–エレミヤ書52"
"Day118,哀歌1–エゼキエル書1"
"Day119,エゼキエル書2–エゼキエル書11"
"Day120,エゼキエル書12–エゼキエル書17"
"Day121,エゼキエル書18–エゼキエル書22"
"Day122,エゼキエル書23–エゼキエル書28"
"Day123,エゼキエル書29–エゼキエル書35"
"Day124,エゼキエル書36–エゼキエル書40"
"Day125,エゼキエル書41–エゼキエル書47"
"Day126,エゼキエル書48–ダニエル書4"
"Day127,ダニエル書5–ダニエル書10"
"Day128,ダニエル書11–ホセア書9"
"Day129,ホセア書10–アモス書3"
"Day130,アモス書4–ミカ書1"
"Day131,ミカ書2–ハバクク書2"
"Day132,ハバクク書3–ゼカリヤ書5"
"Day133,ゼカリヤ書6–マラキ書2"
"Day134,マラキ書3–マタイの福音書5"
"Day135,マタイの福音書6–マタイの福音書10"
"Day136,マタイの福音書11–マタイの福音書14"
"Day137,マタイの福音書15–マタイの福音書19"
"Day138,マタイの福音書20–マタイの福音書23"
"Day139,マタイの福音書24–マタイの福音書26"
"Day140,マタイの福音書27–マルコの福音書2"
"Day141,マルコの福音書3–マルコの福音書6"
"Day142,マルコの福音書7–マルコの福音書10"
"Day143,マルコの福音書11–マルコの福音書14"
"Day144,マルコの福音書15–ルカの福音書1"
"Day145,ルカの福音書2–ルカの福音書5"
"Day146,ルカの福音書6–ルカの福音書8"
"Day147,ルカの福音書9–ルカの福音書11"
"Day148,ルカの福音書12–ルカの福音書15"
"Day149,ルカの福音書16–ルカの福音書19"
"Day150,ルカの福音書20–ルカの福音書22"
"Day151,ルカの福音書23–ヨハネの福音書2"
"Day152,ヨハネの福音書3–ヨハネの福音書5"
"Day153,ヨハネの福音書6–ヨハネの福音書8"
"Day154,ヨハネの福音書9–ヨハネの福音書12"
"Day155,ヨハネの福音書13–ヨハネの福音書17"
"Day156,ヨハネの福音書18–使徒の働き1"
"Day157,使徒の働き2–使徒の働き6"
"Day158,使徒の働き7–使徒の働き9"
"Day159,使徒の働き10–使徒の働き14"
"Day160,使徒の働き15–使徒の働き19"
"Day161,使徒の働き20–使徒の働き24"
"Day162,使徒の働き25–ローマ人への手紙1"
"Day163,ローマ人への手紙2–ローマ人への手紙7"
"Day164,ローマ人への手紙8–ローマ人への手紙14"
"Day165,ローマ人への手紙15–コリント人への手紙第一6"
"Day166,コリント人への手紙第一7–コリント人への手紙第一12"
"Day167,コリント人への手紙第一13–コリント人への手紙第二2"
"Day168,コリント人への手紙第二3–コリント人への手紙第二11"
"Day169,コリント人への手紙第二12–ガラテヤ人への手紙6"
"Day170,エペソ人への手紙1–ピリピ人への手紙1"
"Day171,ピリピ人への手紙2–テサロニケ人への手紙第一1"
"Day172,テサロニケ人への手紙第一2–テモテへの手紙第一3"
"Day173,テモテへの手紙第一4–テトスへの手紙2"
"Day174,テトスへの手紙3–ヘブル人への手紙8"
"Day175,ヘブル人への手紙9–ヤコブの手紙1"
"Day176,ヤコブの手紙2–ペテロの手紙第一5"
"Day177,ペテロの手紙第二1–ヨハネの手紙第二1"
"Day178,ヨハネの手紙第三1–ヨハネの黙示録8"
"Day179,ヨハネの黙示録9–ヨハネの黙示録18"
"Day180,ヨハネの黙示録19–ヨハネの黙示録22"
